# LAST-UPDATED: 2023-07-27	0900

# [Manager]
SC-Sphere-2	54-BF-64-65-C3-2F

# [Server Production]
SC-Tellus	90-B1-1C-15-F4-F2
SC-Tellus	90-B1-1C-15-F4-F3
SC-Vanadium	00-1E-C9-2B-6F-C8
SC-Vanadium	00-1E-C9-2B-6F-C6

# [Testing and Development]
SC-Cavia-Server	90-B1-1C-9C-4D-48	
SC-Cavia	6C-2B-59-DB-C5-31
SC-Cavia-11		
SC-Cavia-10-V	00-15-5D-03-FB-08
SC-CAL-Cavia-V	00-15-5D-03-FB-0E

# [ILC and Development]
SC-Dysprosium	18-03-73-D4-7B-AF

# [Computer Applications Lab (CAL)]
	#[East]
SC-CAL-E-00	08-92-04-E1-90-DE
SC-CAL-E-01	08-92-04-E1-95-CB
SC-CAL-E-02	08-92-04-E1-92-E7
SC-CAL-E-03	08-92-04-E1-83-A8
SC-CAL-E-04	08-92-04-E1-93-EC
SC-CAL-E-05	08-92-04-E1-8E-51
SC-CAL-E-06	08-92-04-E1-95-CC
SC-CAL-E-07	08-92-04-E1-94-78
SC-CAL-E-08	08-92-04-E0-C1-8A
SC-CAL-E-09	C4-5A-B1-DD-09-52
SC-CAL-E-10	08-92-04-E1-8F-43
SC-CAL-E-11	08-92-04-E1-91-3E
SC-CAL-E-12	08-92-04-E1-8E-FC
SC-CAL-E-13	08-92-04-E1-92-77
SC-CAL-E-14	08-92-04-E1-92-B9
SC-CAL-E-15	08-92-04-E0-D0-DB
SC-CAL-E-16	08-92-04-E1-84-18
SC-CAL-E-17	08-92-04-E1-7F-BE
SC-CAL-E-18	08-92-04-E1-8C-83
SC-CAL-E-19	08-92-04-E1-8F-32
SC-CAL-E-20	08-92-04-E1-8E-5D
SC-CAL-E-21	08-92-04-E1-94-01
SC-CAL-E-22	08-92-04-E1-8E-9A
SC-CAL-E-23	08-92-04-DF-9A-97
SC-CAL-E-24	08-92-04-E1-95-75
SC-CAL-E-25	08-92-04-E1-8E-C8
SC-CAL-E-26	08-92-04-E1-8E-A8

	#[West]
SC-CAL-W-00	F4-8E-38-D0-D8-55
SC-CAL-W-01	F4-8E-38-D0-DA-68
SC-CAL-W-02	F4-8E-38-D0-DA-8A
SC-CAL-W-03	F4-8E-38-D0-DC-B9
SC-CAL-W-04	F4-8E-38-D0-DA-1C
SC-CAL-W-05	F4-8E-38-D0-DA-52
SC-CAL-W-06	F4-8E-38-D0-D9-2C
SC-CAL-W-07	F4-8E-38-D0-DA-34
SC-CAL-W-08	F4-8E-38-D0-D9-31
SC-CAL-W-09	F4-8E-38-D0-D9-54
SC-CAL-W-10	F4-8E-38-D0-DA-4E
SC-CAL-W-11	F4-8E-38-D0-D8-B6
SC-CAL-W-12	74-E6-E2-E5-BF-68
SC-CAL-W-13	F4-8E-38-D0-D6-E3
SC-CAL-W-14	F4-8E-38-D0-DA-7E
SC-CAL-W-15	F4-8E-38-D0-DA-9F
SC-CAL-W-16	F4-8E-38-D0-DA-7B
SC-CAL-W-17	F4-8E-38-D0-DA-5C
SC-CAL-W-18	F4-8E-38-D0-D9-57
SC-CAL-W-19	F4-8E-38-D0-D8-E9
SC-CAL-W-20	F4-8E-38-D0-D9-9C
SC-CAL-W-21
SC-CAL-W-22	F4-8E-38-D0-D9-FB
SC-CAL-W-23	F4-8E-38-D0-DA-40
SC-CAL-W-24	F4-8E-38-D0-DA-6B
SC-CAL-W-25	F4-8E-38-D0-D9-BC
SC-CAL-W-26	F4-8E-38-D0-D8-41
	#[Periphery]
SC-CAL-P-1	34-17-EB-B1-32-1D
SC-CAL-P-2	34-17-EB-B1-3D-C0
SC-CAL-P-3	34-17-EB-B1-3C-76
	#[Staff]
SC-CAL-Staff-1	B8-CA-3A-9A-D8-B1
SC-CAL-Staff-2	5C-F9-DD-71-86-81

# [Laboratoriums]
SC-XPS18-00	68-17-29-43-86-7B
SC-XPS18-01	68-17-29-46-0D-33
SC-XPS18-02	68-17-29-43-78-E3
SC-XPS18-03	68-17-29-43-86-58
SC-XPS18-04	68-17-29-43-79-29
SC-XPS18-05	68-17-29-43-85-5E
SC-XPS18-06	68-17-29-43-78-E8
SC-XPS18-07	68-17-29-43-86-AD
SC-XPS18-08	68-17-29-43-85-46
SC-XPS18-09	68-17-29-43-84-FA
SC-XPS18-10	68-17-29-43-86-BC
SC-XPS18-11	68-17-29-43-7A-C3
